Year,Team,Game,Win,Home,MP,FG,FGA,FGP,TP,TPA,TPP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010,Lakers,1,1,1,240,37,76,0.487,4,10,0.4,24,31,0.774,12,30,42,18,6,7,12,26,102
2010,Lakers,2,0,1,240,29,71,0.408,5,22,0.227,31,41,0.756,10,29,39,18,8,14,15,29,94
2010,Lakers,3,1,0,240,34,76,0.447,2,15,0.133,21,24,0.875,11,32,43,13,2,7,8,20,91
2010,Lakers,4,0,0,240,32,71,0.451,7,20,0.35,18,22,0.818,8,26,34,13,6,3,15,23,89
2010,Lakers,5,0,0,240,31,78,0.397,7,19,0.368,17,26,0.654,16,18,34,12,9,1,13,22,86
2010,Lakers,6,1,1,240,33,79,0.418,6,19,0.316,17,19,0.895,12,40,52,17,13,8,13,17,89
2010,Lakers,7,1,1,240,27,83,0.325,4,20,0.2,25,37,0.676,23,30,53,11,7,3,11,19,83
2011,Mavericks,1,0,0,240,25,67,0.373,9,22,0.409,25,32,0.781,6,30,36,18,6,8,11,22,84
2011,Mavericks,2,1,0,240,36,75,0.48,6,17,0.353,17,21,0.81,11,30,41,18,8,2,18,20,95
2011,Mavericks,3,0,1,240,28,70,0.4,8,21,0.381,22,27,0.815,12,30,42,18,3,8,14,14,86
2011,Mavericks,4,1,1,240,29,73,0.397,4,19,0.211,24,30,0.8,12,29,41,13,7,2,11,18,86
2011,Mavericks,5,1,1,240,39,69,0.565,13,19,0.684,21,27,0.778,4,22,26,23,8,3,11,20,112
2011,Mavericks,6,1,0,240,41,82,0.5,11,26,0.423,12,18,0.667,10,30,40,19,11,1,14,24,105
2012,Heat,1,0,0,240,36,78,0.462,8,19,0.421,14,18,0.778,7,28,35,20,6,1,10,19,94
2012,Heat,2,1,0,240,36,76,0.474,6,14,0.429,22,25,0.88,11,29,40,13,5,4,13,21,100
2012,Heat,3,1,1,240,28,74,0.378,4,13,0.308,31,35,0.886,14,31,45,13,6,5,12,19,91
2012,Heat,4,1,1,240,38,79,0.481,10,26,0.385,18,25,0.72,9,31,40,19,8,2,9,18,104
2012,Heat,5,1,1,240,40,77,0.519,14,26,0.538,27,33,0.818,8,33,41,25,8,7,13,21,121
2013,Heat,1,0,1,240,34,78,0.436,8,25,0.32,12,17,0.706,9,37,46,20,4,2,8,12,88
2013,Heat,2,1,1,240,41,83,0.494,10,19,0.526,11,14,0.786,9,27,36,22,9,6,6,17,103
2013,Heat,3,0,0,240,31,76,0.408,8,18,0.444,7,10,0.7,9,27,36,21,9,8,16,21,77
2013,Heat,4,1,0,240,45,85,0.529,4,12,0.333,15,17,0.882,7,34,41,23,13,7,9,26,109
2013,Heat,5,0,0,240,37,86,0.43,11,23,0.478,19,23,0.826,12,22,34,25,8,3,13,24,104
2013,Heat,6,1,1,265,38,81,0.469,11,19,0.579,16,21,0.762,12,30,42,23,10,6,15,26,103
2013,Heat,7,1,1,240,36,82,0.439,12,32,0.375,11,16,0.688,11,32,43,14,8,4,16,19,95
2014,Spurs,1,1,1,240,40,68,0.588,13,25,0.52,17,22,0.773,5,34,39,30,8,4,22,14,110
2014,Spurs,2,0,1,240,36,82,0.439,12,26,0.462,12,20,0.6,11,26,37,26,7,1,11,20,96
2014,Spurs,3,1,0,240,38,64,0.594,9,20,0.45,26,32,0.813,5,24,29,21,12,4,12,25,111
2014,Spurs,4,1,0,240,40,70,0.571,9,21,0.429,18,25,0.72,12,32,44,25,8,4,14,19,107
2014,Spurs,5,1,1,240,37,78,0.474,12,26,0.462,18,23,0.783,6,34,40,25,5,4,8,21,104
