Team,Home,Win,MIN,PTS,FGM,FGA,FGP,3PM,3PA,TPP,FTM,FTA,FTP,OREB,DREB,TRB,AST,STL,BLK,TOV,PF,+/-
MIN,1,1,265,112,42,89,0.472,9,23,0.391,19,25,0.76,8,32,40,24,10,2,8,19,6
WAS,WAS @ ORL,0,240,92,33,95,0.347,10,34,0.294,16,27,0.593,18,32,50,17,5,1,12,25,-9
LAL,LAL @ LAC,1,240,115,42,88,0.477,17,39,0.436,14,16,0.875,10,39,49,25,8,6,17,23,15
BKN,BKN @ BOS,0,240,97,37,91,0.407,11,40,0.275,12,16,0.75,10,34,44,27,10,6,15,12,-13
NYK,NYK @ CLE,1,239,110,43,85,0.506,12,27,0.444,12,13,0.923,8,31,39,30,10,3,15,22,12
TOR,TOR @ MIA,0,265,109,42,92,0.457,9,30,0.3,16,21,0.762,9,38,47,24,5,10,13,24,-7
SAS,SAS @ NOP,0,241,98,37,92,0.402,8,24,0.333,16,19,0.842,12,26,38,22,9,1,17,17,-24
DET,DET @ CHI,1,240,119,47,89,0.528,15,35,0.429,10,10,1,7,40,47,27,12,4,11,21,32
BOS,BOS vs. BKN,1,240,110,46,102,0.451,6,24,0.25,12,15,0.8,20,42,62,22,6,6,13,14,13
NOP,NOP vs. SAS,1,239,122,52,88,0.591,5,19,0.263,13,19,0.684,11,40,51,30,11,5,19,20,24
OKC,OKC vs. MEM,1,241,137,47,85,0.553,20,43,0.465,23,32,0.719,8,37,45,32,8,3,14,23,14
MIL,MIL @ PHI,0,240,95,37,90,0.411,7,25,0.28,14,16,0.875,10,33,43,22,6,5,20,17,-35
PHI,PHI vs. MIL,1,240,130,52,105,0.495,15,36,0.417,11,15,0.733,17,40,57,35,15,7,12,17,35
SAC,SAC vs. HOU,1,240,96,38,80,0.475,7,26,0.269,13,20,0.65,6,42,48,22,6,3,11,14,13
CLE,CLE vs. NYK,0,241,98,37,94,0.394,6,24,0.25,18,28,0.643,17,31,48,15,9,3,14,15,-12
LAC,LAC vs. LAL,0,240,100,41,83,0.494,6,18,0.333,12,28,0.429,8,33,41,27,8,1,17,17,-15
MIA,MIA vs. TOR,1,265,116,46,106,0.434,11,26,0.423,13,20,0.65,19,37,56,26,8,7,9,18,7
UTA,UTA @ POR,0,241,93,33,89,0.371,8,23,0.348,19,24,0.792,14,39,53,18,5,7,14,19,-9
POR,POR vs. UTA,1,240,102,41,89,0.461,9,24,0.375,11,16,0.688,7,39,46,19,9,9,10,22,9
DEN,DEN @ MIN,0,263,106,41,90,0.456,13,32,0.406,11,18,0.611,10,37,47,19,4,4,12,22,-6
MEM,MEM @ OKC,0,240,123,44,91,0.484,13,31,0.419,22,24,0.917,9,32,41,22,9,2,13,22,-14
CHI,CHI vs. DET,0,240,87,32,86,0.372,11,34,0.324,12,18,0.667,12,28,40,21,8,1,18,15,-32
HOU,HOU @ SAC,0,241,83,31,82,0.378,13,46,0.283,8,12,0.667,8,32,40,11,2,6,14,24,-13
ORL,ORL vs. WAS,1,239,101,33,77,0.429,13,32,0.406,22,27,0.815,6,36,42,20,6,7,16,27,9
UTA,UTA vs. GSW,1,240,119,48,90,0.533,13,35,0.371,10,13,0.769,12,42,54,25,10,6,15,20,40
CHA,CHA @ IND,1,240,119,46,99,0.465,18,42,0.429,9,12,0.75,13,42,55,27,5,7,6,8,26
ATL,ATL vs. PHI,0,240,113,41,98,0.418,13,37,0.351,18,26,0.692,8,31,39,27,10,3,10,24,-8
DAL,DAL vs. PHX,0,239,97,37,97,0.381,8,33,0.242,15,22,0.682,18,22,40,20,8,1,8,19,-27
PHI,PHI @ ATL,1,238,121,43,87,0.494,17,37,0.459,18,30,0.6,11,43,54,29,7,8,18,22,8
BOS,BOS @ WAS,0,241,101,33,87,0.379,13,33,0.394,22,27,0.815,13,31,44,22,14,1,16,18,-12
IND,IND vs. CHA,0,239,93,40,99,0.404,8,31,0.258,5,8,0.625,13,40,53,22,3,4,7,16,-26
PHX,PHX @ DAL,1,240,124,48,76,0.632,13,26,0.5,15,21,0.714,5,41,46,35,5,6,14,16,27
LAL,LAL vs. HOU,0,240,99,38,90,0.422,10,36,0.278,13,15,0.867,9,38,47,22,14,4,17,19,-6
WAS,WAS vs. BOS,1,240,113,41,83,0.494,15,30,0.5,16,20,0.8,10,41,51,32,8,3,20,24,12
HOU,HOU @ LAL,1,239,105,37,88,0.42,16,47,0.34,15,16,0.938,8,41,49,19,9,5,18,19,6
GSW,GSW @ UTA,0,239,79,30,86,0.349,5,19,0.263,14,16,0.875,9,30,39,14,7,3,15,18,-40
MEM,MEM @ MIN,0,241,94,35,85,0.412,5,18,0.278,19,21,0.905,10,25,35,20,11,5,17,20,-19
TOR,TOR @ DET,1,239,108,46,87,0.529,12,39,0.308,4,4,1,8,40,48,27,3,5,9,17,10
CLE,CLE @ NYK,1,240,123,40,85,0.471,19,45,0.422,24,28,0.857,7,35,42,29,9,2,10,15,16
CHI,CHI @ BKN,0,240,105,43,89,0.483,12,28,0.429,7,12,0.583,10,34,44,26,7,6,19,17,-9
SAS,SAS vs. SAC,1,241,98,34,82,0.415,6,27,0.222,24,29,0.828,11,34,45,18,6,6,8,14,13
MIA,MIA vs. OKC,0,239,93,40,87,0.46,5,22,0.227,8,14,0.571,8,35,43,21,6,4,15,24,-22
DEN,DEN vs. POR,1,239,88,31,83,0.373,6,26,0.231,20,26,0.769,10,42,52,22,7,5,12,18,6
NYK,NYK vs. CLE,0,240,109,46,87,0.529,11,30,0.367,6,12,0.5,8,29,37,26,4,7,14,20,-16
NOP,NOP @ LAC,1,241,113,44,95,0.463,11,30,0.367,14,20,0.7,9,41,50,34,13,10,7,18,13
ORL,ORL @ MIL,0,240,86,34,82,0.415,5,24,0.208,13,20,0.65,5,38,43,24,8,4,19,14,-16
DET,DET vs. TOR,0,239,98,35,78,0.449,9,30,0.3,19,25,0.76,4,29,33,22,7,2,3,11,-10
OKC,OKC @ MIA,1,241,115,35,81,0.432,14,35,0.4,31,38,0.816,7,36,43,21,9,4,9,15,22
BKN,BKN vs. CHI,1,241,114,41,82,0.5,18,42,0.429,14,15,0.933,6,32,38,32,8,10,17,15,9
SAC,SAC @ SAS,0,240,85,33,81,0.407,8,18,0.444,11,17,0.647,12,33,45,16,4,2,12,24,-13
LAC,LAC vs. NOP,0,240,100,45,98,0.459,2,17,0.118,8,19,0.421,17,44,61,29,6,6,16,18,-13
MIL,MIL vs. ORL,1,240,102,39,91,0.429,9,26,0.346,15,18,0.833,12,44,56,26,13,2,16,18,16
MIN,MIN vs. MEM,1,240,113,42,87,0.483,7,22,0.318,22,26,0.846,18,34,52,27,10,7,17,18,19
POR,POR @ DEN,0,240,82,31,94,0.33,7,33,0.212,13,18,0.722,18,39,57,10,8,2,17,28,-6
PHI,PHI vs. DAL,1,239,109,46,91,0.505,8,27,0.296,9,14,0.643,9,43,52,32,9,4,10,19,12
GSW,GSW @ PHX,1,241,117,47,90,0.522,13,32,0.406,10,15,0.667,5,36,41,27,9,7,11,15,17
PHX,PHX vs. GSW,0,240,100,39,92,0.424,10,35,0.286,12,16,0.75,8,36,44,24,4,0,13,16,-17
ATL,ATL @ BOS,1,239,112,43,86,0.5,15,35,0.429,11,14,0.786,5,32,37,23,7,4,13,19,6
BOS,BOS vs. ATL,0,239,106,42,82,0.512,9,23,0.391,13,20,0.65,10,31,41,33,9,6,12,18,-6
DET,DET @ MEM,0,240,117,38,93,0.409,23,47,0.489,18,23,0.783,14,24,38,30,10,0,12,18,-13
ORL,ORL @ TOR,0,240,101,42,89,0.472,7,23,0.304,10,17,0.588,6,36,42,25,12,4,10,17,-11
IND,IND @ CHA,1,240,123,50,93,0.538,9,25,0.36,14,18,0.778,7,32,39,27,11,1,14,22,6
MEM,MEM vs. DET,1,240,130,48,83,0.578,16,33,0.485,18,24,0.75,8,35,43,36,11,4,12,18,13
CHA,CHA vs. IND,0,238,117,40,80,0.5,11,30,0.367,26,30,0.867,5,31,36,27,6,3,21,17,-6
DAL,DAL @ PHI,0,239,97,40,94,0.426,11,40,0.275,6,13,0.462,10,33,43,24,6,6,11,9,-12
UTA,UTA @ LAL,1,239,112,42,83,0.506,13,36,0.361,15,22,0.682,7,38,45,35,8,4,18,24,15
TOR,TOR vs. ORL,1,239,112,39,78,0.5,17,40,0.425,17,24,0.708,6,41,47,28,8,5,17,21,11
LAL,LAL vs. UTA,0,240,97,37,93,0.398,5,25,0.2,18,22,0.818,12,32,44,20,8,4,12,22,-15
LAC,LAC vs. DEN,0,240,115,43,87,0.494,6,17,0.353,23,34,0.676,15,23,38,25,6,0,10,19,-19
